song_name,movie_album,singers
Yemo Aunemo,Nee Sneham," R.P. Patnaik,  Rajesh Krishnan,  Usha"
Aata,Aata," Devi Sri Prasad,  Shankar Mahadevan"
Chalaki Chilipi Vayasu,Maayalodu (Original Motion Picture Soundtrack)," Bhuvana Chandra,  S.P.Balasubramanyam,  Chitra"
Sinne Sinne Korikaladaga,Swayam Krishi, S. Janaki
Eppudainna,Mahanubhavudu, Swetha Pandit
I Dont Want Luv,Kick," Thaman S,  Karthik"
Chandamama Chandamama,Seemasimham," Mani Sharma,  Hariharan,  Sujatha Mohan"
Ee Premaki,Nenu Sailaja," K. S. Chithra,  Devi Sri Prasad"
Kovello Depam La,Nenu Premisthunnanu," Sirpi,  S.P. Balasubrahmanyam"
Computerlu,Nuvve Nuvve," Koti,  Anuradha Sriram,  Devan Ekambaram,  Trivikram Srinivas"
Ninne Ninne,Sasirekha Parinayam," Mani Sharma,  K. S. Chithra"
Parugu,Parugu," Mani Sharma,  Ranjith"
Yeda Poinado,Aravindha Sametha," Nikitha Srivalli,  Kailash Kher,  Penchal Das"
Nuvvemi Chesavu,Pelli Chesukundham," Koti,  K.J. Yesudas"
Ammye Nannanyena,Simhadri," Kalyani Malik,  M.M. Keeravani"
Emo Emo Emo,Devadas," Sid Sriram,  Ramya Behara"
Nandalaala,Mukunda, Swetha Pandit
Changure Changure,Sitha Rama Raju," M. M. Keeravani,  S.P. Balasubrahmanyam"
Tooneega,Manasantha Nuvve," R.P. Patnaik,  Usha,  Sanjeevini"
Anandama,Konchem Ishtam Konchem Kashtam," Shankar-Ehsaan-Loy,  Shankar Mahadevan,  Shreya Ghoshal"
Jaruguthunnaadi,Krishnam Vande Jagathgurum," Mani Sharma,  S.P. Balasubrahmanyam"
Repalle Malle Murali Vinnidi,Allari Mogudu," S.P. Balasubrahmanyam,  Chitra"
Tummeda - O-Tummeda,Srinivasa Kalyanam," S.P. Balasubrahmanyam,  P. Susheela"
Chik Buk Pori,Anji," Mani Sharma,  Shankar Mahadevan,  Kalpana"
Thammudu Are Thammudu,Master, Chiranjeevi
Arere Chandrakala,Mukunda," Karthik,  Sai Shivani"
Konda Kona Gundello,Pelli," S.A. Raj Kumar,  K. S. Chithra,  S.P. Balasubrahmanyam"
Taralirada,Rudraveena," Ilaiyaraaja,  S.P. Balasubrahmanyam"
Amma Ane Pilichi,Simharasi," S. Janaki,  S.A. Rajkumar"
Gali Chiru Gali,Vasantham," S.A. Raj Kumar,  K. S. Chithra"
Kukoo Kukoo,Rajendrudu Gajendrudu (Original Motion Picture Soundtrack)," Bhuvana Chandra,  S.P.Balasubramanyam,  Chitra"
Pallakivye,Pournamy," Devi Sri Prasad,  Gopika Poornima"
Pelli Kala Vachhesindhi,Preminchukundam Raa," Mano,  K. S. Chitra,  Swarnalatha"
Manninchu O Prema,Ela Cheppanu," Koti,  Udit Narayan,  K. S. Chithra"
Gumma Gulabi,Anji," Mani Sharma,  Karthik,  Pop Shalini"
Entha Varaku,Gamyam, Ranjith
Muddimmindi,Allari Mogudu," S.P. Balasubrahmanyam,  Chitra"
Kopam Vasthe,Taraka Ramudu," Koti,  K. S. Chithra,  S.P. Balasubrahmanyam"
Mounanga Unna,Red," Dinker,  Nutana Mohan"
Gundelo Valava,Eeswar (New)," Rajesh Krishnan,  Singer Usha"
Bangaram Thechi,Iddaru Mithrulu," Parthasarathy,  K. S. Chithra"
Ee Yogamanukomu,Sri Anjaneyam, S. P. Balasubrahmanyam
Pade Pade,Kalusukovalani," Devi Sri Prasad,  Sumangali"
Laali Laali,Indira, Harini
Koncham Karanga,Chakram," Chakri,  Kousalya"
Manasuna Unnadi (Male),Priyamainaneeku," Shivashankar,  S.P. Balasubrahmanyam"
Kaadhani Nuvvantunnadhi,Happy Wedding," Hema Chandra,  Sravana Bhargavi"
Bhavyamyna,Pournamy," Devi Sri Prasad,  Jayadev,  Punya Srinivas"
Oka Life,Oopiri," Karthik,  Gopi Sunder"
Chivaraku Migiledi,Mahanati, Sunitha Upadrasta
Amma Song,Oke Oka Jeevitham (Original Motion Picture Soundtrack)," Sid Sriram,  Sirivennela Seetharama Sastry,  Jakes Bejoy"
Nee Vupuri Nee Sothama,Snehitudu, Ramakrishnan Murthy
Naa Paata Panchamrutham,Allari Mogudu, S.P. Balasubrahmanyam
Manasulone Nilichipoke,Varudu Kaavalenu, Chinmayi Sripada
Yemantave Oh Manasa,Ninne Ishtapaddanu," R.P. Patnaik,  K. S. Chithra,  S.P. Balasubrahmanyam"
Andala Prayam,Vamshoddarakudu," Koti,  K. S. Chithra,  S.P. Balasubrahmanyam"
Naa Pedavulu,Ready," Sagar,  Gopika Poornima,  Devi Sri Prasad"
Manna Friendalla,Snehitudu," Krish,  Suchith Suresan"
Chukkallara,Apathbhandavudu, Chitra
Anuragame Mantramga,Pelli," S.A. Raj Kumar,  K.J. Yesudas"
Manasuna Mansuga,Love Birds," A.R. Rahman,  Hariharan,  Sujatha Mohan"
Aakasa Ganga (Pathos),Vaana," Kamalakar,  Karthik"
Chitti Adugu,Most Eligible Bachelor, Zia Ul Haq
Okkasaari Okkasaari,Top Hero (Original Motion Picture Soundtrack)," Seetharama Shastry,  S.P.Balasubramanyam,  Chitra"
Amma Brahma Devudo,Govinda Govinda," S.P. Balasubrahmanyam,  K. S. Chithra,  Malgudi Subha"
Meghala Pallakilona,Ela Cheppanu," Koti,  Sunitha,  Sri Ram Prabhu"
Enduku Chentaki,Konchem Ishtam Konchem Kashtam," Shankar-Ehsaan-Loy,  Unni Krishnan"
Alaa Choodu Prema,Preminchukundam Raa," S. P. Balasubramaniyam,  K. S. Chitra"
Aakashana,Manasantha Nuvve," R.P. Patnaik,  KK,  Sujatha Mohan"
Paita Kongu Ento Manchidi,Pelli," S.A. Raj Kumar,  K. S. Chithra,  S.P. Balasubrahmanyam"
Hayiga Amma Ollo,Yagnam," Mani Sharma,  Gopika Poornima,  Vardhani Thaman"
Thirumalavasa,Bhadra," Devi Sri Prasad,  Sumangali"
Avayi Tuvvayi,Sri Anjaneyam," Tippu,  Shreya Ghoshal"
Indhumati Charumathi,Raja Simham," Raj-Koti,  K. S. Chithra,  S.P. Balasubrahmanyam"
Antha Siddanga,Konchem Ishtam Konchem Kashtam," Shankar-Ehsaan-Loy,  Sonu Nigam,  Shreya Ghoshal"
Samajavaragamana,Top Hero (Original Motion Picture Soundtrack)," Jonnuvittula,  S.P.Balasubramanyam,  Chitra"
Eppudo (Female),Sontham," Devi Sri Prasad,  Sumangali"
Gopala Baludamma,Ooyala," S.V. Krishna Reddy,  K. S. Chithra"
Greeku Veerudu,Ninne Pelladatha, Sowmya
Sambarala,Preminchukundam Raa," S. P. Balasubramaniyam,  K. S. Chitra,  Sangeetha Sajith"
Chaala Bagundi,Mukunda, Haricharan
Slokam,Sri Anjaneyam," Kalpana,  K. S. Chithra"
Koya Koya,Pournamy," Devi Sri Prasad,  Shaan"
Andanantha Ettha,Kshana Kshanam," S.P. Balasubrahmanyam,  Chitra"
Get Reeady,Ready," Karthik,  Devi Sri Prasad"
Prathi Nijam Pagatikalaga,Ela Cheppanu," Koti,  K. S. Chithra"
Suridu Poova,Antahpuram, S. Janaki
Ichchi Puchchu,Pournamy," Devi Sri Prasad,  Tippu,  Sumangali"
Em Vaano,Naari Naari Naduma Murari," S.P. Balasubrahmanyam,  P. Susheela"
Preminchadame,Prematho Raa, Srinivas
Sirimallevaana,Vaana," Kamalakar,  K. S. Chithra,  Ranjith"
Diri Diri (Oye Oye),Josh," Kunal Ganjawala,  Sandeep Chowta"
Priya Priya,Kalusukovalani," Devi Sri Prasad,  Venugopal,  Sumangali"
Chinna Thandri,Sisindhri," Raj,  Swarnalatha"
Vadhuvai Raave Naa,Shubhalekhalu (Original Motion Picture Soundtrack)," V.Venkatesh,  S.P.Balasubramanyam,  Chitra"
Sri Karam,Kudirithe Kappu Coffee," Yogeshwara Sharma,  S.P. Balasubrahmanyam,  Nihal"
Thika Maka,Sri Anjaneyam, S.P. Balasubrahmanyam
Rum Pum bum,Disco Raja," Bappi Lahiri,  Ravi Teja"
Ee Gaali Ee Vela,Sirivennela," S.P. Balasubrahmanyam,  P. Susheela"
Nammave Ammai,Vaasu," Harris Jayaraj,  K. S. Chithra,  Raghavendra"
Soundarya Lahari,Pelli Sandadi," S.P. Balasubrahmanyam,  Chitra"
Naa Kosame,Subbu," M.M. Keeravaani,  Kavita Krishnamurthy"
Nee Kosam,Preyasi Raave," K. S. Chitra,  S. P. Balasubramaniyam"
Aakasam Sakshiga,Adavi Ramudu," Mani Sharma,  Sonu Nigam,  Mahalakshmi Iyer"
Ku Ku Ku Koo Komma Remma,Allari Primikudu (Original Motion Picture Soundtrack)," Veturi,  S.P.Balasubramanyam,  Chitra"
Yedho Yedho,Sasirekha Parinayam," Mani Sharma,  Saindhavi"
Dandalaya,Coolie No. 1, S.P. Balasubrahmanyam
Cheli Soku,Malleswari," KK,  K. S. Chitra"
Vacchindi Kada Avakasam,Brahmotsavam," Abhay Jodhpurkar,  Mickey J. Meyer"
Nee Maayaloduni,Maayalodu (Original Motion Picture Soundtrack)," Gaduri Vishwandha Sastry,  S.P.Balasubramanyam,  Chitra"
Brahmotsavam,Brahmotsavam," Sreerama Chandra,  Mickey J. Meyer"
Andala Aparanji Bomma,Ghatothkachudu," S.V. Krishna Reddy,  S.P. Balasubrahmanyam"
Pattudhalatho,Sambaram," R.P. Patnaik,  Mallikarjun"
Adugestene,Adavi Ramudu," Mani Sharma,  K. S. Chithra,  Sangeetha,  Malathi Sharma"
Oohalu Oorege Gaalanthaa,Sammohanam," Haricharan,  Keerthana"
Jinka Veta,Adavi Ramudu," Mani Sharma,  K. S. Chithra,  Hariharan"
Dharmardha Kamamulalona,Johnny, Rajesh Krishnan
Adugo Maharaju,Suryavamsam," Mano,  Sujatha Mohan"
Epudepududani,Nirnayam," S.P. Balasubrahmanyam,  S. Janaki"
Dill Kaalaasee,Kick," Thaman S,  Anushka Manchanda"
Vaaru Veeru,Devadas," Anurag Kulkarni,  Anjana Sowmya"
Kokamma Cheppamma,Donga Mogudu," S.P. Balasubrahmanyam,  S. Janaki"
Nuvventha Andagathe,Malleswari, Karthik
Entha Naatu Premo,Number One (Original Motion Picture Soundtrack)," Seetharama Shastry,  S.P.Balasubramanyam,  Chitra"
Emaindo Gaani,Nenu Meeku Thelusa," Achu,  Sriram Parthasarathy"
Asa Asaga,Sankranthi," S.A. Raj Kumar,  S.P. Balasubrahmanyam"
Aa Roje Tholisari,Pilla Nuvvu Leni Jeevitham," Anoop Rubens,  Sreerama Chandra"
Neela Poori,Mahathma, Kasarla Shyam
Amma Sampangi Reku,Satruvu," S. P. Balasubrahmanyam,  P. Susheela"
Andela Ravamidhi,Swarna Kamalam," S. P. Balasubrahmanyam,  Vani Jayaram"
O Prema,Sri Seetharamula Kalyanam Chothamu Rarandi," M. M. Keeravani,  S.P. Balasubrahmanyam,  Sunitha"
Yemo Aunemo (Humming),Nee Sneham," R.P. Patnaik,  Usha"
Radhe .. Radhe,Chirujallu," Vandemataram Srinivas,  K. S. Chithra,  S.P. Balasubrahmanyam,  Vishala"
Daddy Katha Vinava,Uugadi," S.V. Krishna Reddy,  Unni Krishnan,  Sunitha"
Jumbaye,Kshana Kshanam," Sirivennela Seetharama Sastry,  M. M. Keeravani,  Mano,  K. S. Chithra"
Chi Chi CHi,Nuvvu Leka Nenu Lenu," R. P. Patnaik,  Usha,  Lenina"
Dhin Dhin Dhinak,Manasantha Nuvve," R.P. Patnaik,  Mahalakshmi Iyer"
Guppu Guppu,Rakshana (Original Motion Picture Soundtrack)," Seetharama Shastry,  S.P.Balasubramanyam,  Chitra"
Ventapaduthundhi,Vaana," Kamalakar,  K. S. Chithra"
Suvvi Suvvi Suwala,Pellikanuka," M.M. Keeravani,  S.P. Balasubrahmanyam,  Malgudi Shubha"
Gopilola,Ladies Tailor," S.P. Balasubrahmanyam,  S.P. Sailaja"
Nalo Nenu Lene,Avunu Validdharu Istapaddaru," Chakri,  Kausalya,  Sandeep"
Alupannadi,Gayam, Chitra
Allei Allei,Cheliyaa," A.R. Rahman,  Abhay Jodhpurkar,  Chinmayi"
Aagipo Baalyama,Mahanati, Ramya Behara
Arare Pasi Manasa,Krishnam Vande Jagathgurum," Mani Sharma,  Sravana Bhargavi,  Narendra"
Khadgam,Khadgam," Devi Sri Prasad,  S.P. Balasubrahmanyam"
Ku Ku Ku,Ninne Ishtapaddanu," R.P. Patnaik,  K. S. Chithra,  S.P. Balasubrahmanyam"
Ooranta Utsavam,Chennakesava Reddy," Mani Sharma,  S.P. Balasubrahmanyam,  Sujatha Mohan"
Dhindhirana,Eeswar (New)," Rajesh Krishnan,  Singer Usha"
Artha Sathapadu,Sindhooram, S.P. Balasubrahmanyam
Rock And Roll,Pournamy, Devi Sri Prasad
Nathora Thamashala,Ninne Pelladatha," Sanjeev Wadhwani,  Sujatha Mohan"
Preminchava,Aaro Pranam," S.P. Balasubrahmanyam,  K. S. Chithra,  Annupamaa"
Inthe Ee Prema Varasa,Manasicchi Choodu," Mani Sharma,  S.P. Balasubrahmanyam,  Sujatha Mohan"
Innallu,Eeswar (New)," Rajesh Krishnan,  Singer Usha"
Just Do It,Bhadra," Devi Sri Prasad,  Tanvi Shah,  Timmy"
Maagha Maasavela,Ela Cheppanu," Koti,  Udit Narayan,  Shreya Ghoshal"
Thanemando,Ganesh (New)," Mickey J Meyer,  Javed Ali"
Solo Brathuke So Better (Title Song),Solo Brathuke So Better," Thaman S,  Vishal Dadlani"
Kalalalo Nuvve,Chirujallu," Vandemataram Srinivas,  Udit Narayan,  Kavita Krishnamurthy"
Aadhi Bikshuvu,Sirivennela, S.P. Balasubrahmanyam
Sarasakura Dora,M. Dharmaraju M.A.," Raj-Koti,  S.P. Balasubrahmanyam,  Malgadi Shubha"
Kolu Kolu Koyilamma,Number One (Original Motion Picture Soundtrack)," Jonnuvittula,  S.P.Balasubramanyam,  Chitra"
Chilipi Chilaka I Love You,Allari Primikudu (Original Motion Picture Soundtrack)," Veturi,  S.P.Balasubramanyam,  Chitra"
Chumantra Kaali,Maayalodu (Original Motion Picture Soundtrack)," Seetharama Shastry,  S.P.Balasubramanyam"
Pudunne Puttindi,Satruvu," S. Janaki,  S. P. Balasubrahmanyam"
Kannu Kannu,Premaku Velayera," S.V. Krishna Reddy,  K. S. Chithra,  Srinivas"
Tala Talamani,Kalusukovalani," Devi Sri Prasad,  Harini,  S.P. Charan"
Nelanadiga,Priyamainaneeku," Shivashankar,  S.P. Balasubrahmanyam"
Andamaina,Number One (Original Motion Picture Soundtrack)," Jonnuvittula,  S.P.Balasubramanyam,  Chitra"
Anthe Kada Mari,Lover," Ankit Tiwari,  Jonita Gandhi"
Kori Kori Kaluthundi,Rowdy Alludu," S.P. Balasubrahmanyam,  Chitra"
Mogali Podalu,Chandralekha," Sandeep Chowta,  Rajesh Krishnan,  Sujatha Mohan"
Podham,Oopiri," Haricharan,  Gopi Sunder"
Hai Rama,Rangeli," Hariharan,  Swarnalatha"
Panchavannela,Subhakankshalu," Mano,  Sujatha Mohan"
Nenu Thaanani,Oh My Friend," Rahul Raj,  Ranjith"
Manchu Thakina,Ela Cheppanu," Koti,  Mallikarjun"
Indiramma,Mahathma, S P Balasubrahmanyam
Nuvemichavo,Oopiri," Vijay Prakash,  Gopi Sunder"
Ee Chempaku Selaveeyaku,Donga Mogudu," S.P. Balasubrahmanyam,  P. Susheela"
Nee Pedavulatho,Srimathi Vellostha," Koti,  S.P. Balasubrahmanyam,  K. S. Chithra"
Toli Adugaina Padalede,Snehitudu, Aalap Raju
Oohalevo Rege,Antham," Mano,  Kavitha Krishnamurthy"
Nijamante,April 1st Vidudala," Ilaiyaraaja,  Mano"
Ohori Nayano,Trinethrudu," Raj-Koti,  K. S. Chithra,  Mano"
Chinni Padala,Preminchedi Endukamma," Ilaiyaraaja,  S.P. Balasubrahmanyam"
Theli Manchu,Swathi Kiranam, Vani Jayaram
Sye Raa,Syeraa Narasimha Reddy," Sunidhi Chauhan,  Shreya Ghoshal"
Maattekki Thooge,Bavagaru Bagunnara," S.P. Balasubrahmanyam,  Febi"
Kavali Kavali,Mogudu," B. Babushankar,  Swapna Madhuri,  Babushankar"
Mellaga Mellaga - Female,Asha Asha Asha, K. S. Chithra
Nuvvu Nenu Jattu,Oh My Friend," Rahul Raj,  Benny Dayal"
Ammaho,Kantri," Mani Sharma,  K. S. Chithra,  Karthik"
Chesededo,Mukunda," Rahul Nambiar,  Revanth"
Parugulu Thiy,Maryada Ramanna, S P Balasubrahmanyam
Needhe Needhe,Gopala Gopala, Sonu Nigam
Hayamma Hayamma,Ladies Tailor," S. Janaki,  S.P. Balasubrahmanyam"
Dholare Dhamadam,Vaana," Kamalakar,  Ranjith"
Ninne Pellade,Ninne Pelladatha," Jikki,  Sowmya,  Ramakrishna,  Sandip,  Rajesh Krishnan,  Balaram"
Oho Cheliya,Anaganaga Oka Roju," Mano,  K. S. Chithra"
Maimarupaa,Cheliyaa," A.R. Rahman,  Shashaa Tirupati"
Nemmadi Nemmadi,Gowri," Koti,  Sunitha,  Sandep"
Kotaloni Rani,Eeswar (New)," Lenina Chowdary,  Rajesh Krishnan,  Singer Usha,  Nihal Konduri,  Kousalya"
Nagaram,Adavi Ramudu," Mani Sharma,  Mallikarjun"
Vaye Janmalu,Priyamainaneeku," Shivashankar,  S.P. Balasubrahmanyam"
Ela Entha Sepu,Sasirekha Parinayam," Mani Sharma,  Rahul Nambiar"
Ghataina Prema Ghatana,Bhairava Dweepam," Madhavapeddi Suresh,  K. S. Chithra,  S.P. Balasubrahmanyam"
Oh Manasa Thondara,Oka Chinna Maata," Bharadwaj,  K. S. Chithra,  S.P. Balasubrahmanyam"
Cool &amp; Lovely,Johnny, Ramana Gogula
Are Inka Jinka,Dharma Kshetram," Ilaiyaraaja,  S.P. Balasubrahmanyam,  S. Janaki"
Chinnataname,Prati Roju Pandaage, Vijay Yesudas
Yentha Yentha Vintha,Bhairava Dweepam," Madhavapeddi Suresh,  S.P. Balasubrahmanyam,  Sandya"
Bad Bad Boy,Josh, Ranjith
Nuvvu Yevvari Edhalo,Malleswari, S. P. Balasubrahmanium
Rivvuna Egire Guvva,Janaki Weds Sriram, S.P. Balasubrahmanyam
Ninnala Monnala,Chirunavvuto," Mani Sharma,  S.P. Charan"
Inka Yedo Kaavalantu,Ninne Pelladatha," Hariharan,  Sowmya"
Naaku Nuvvu,Naani," A.R. Rahman,  Poornima,  Hariharan"
Lovely Lakumuki,Trinethrudu," Raj-Koti,  S. Janaki,  S.P. Balasubrahmanyam"
Veyyinokka Jillala Varaku,Surya IPS," Ilaiyaraaja,  S.P. Balasubrahmanyam"
Anathineeyara,Swathi Kiranam, Vani Jayaram
Ninnu Choodugaane,Allari Primikudu (Original Motion Picture Soundtrack)," Veturi,  S.P.Balasubramanyam,  Chitra"
Class Room Lo,Gulabi, Hariharan
O Kala Kannadi,Tajmahal," K. S. Chithra,  S. P. Balasubrahmanyam"
Goo Gumma,Pavitra Prema," Koti,  K. S. Chithra,  S.P. Balasubrahmanyam"
Poruginti Mangala Gowri,Subhalagnam," S.V. Krishna Reddy,  S.P. Balasubrahmanyam,  K. S. Chithra"
Ide Manchi Roju,Pelli Pandiri," Vandemataram Srinivas,  S.P. Balasubrahmanyam,  Sujatha Mohan"
Urime Megham,Modati Cinema," Swaraj,  Sonu Nigam,  K. S. Chithra"
Innallu Yemabbullo,Uugadi," S.V. Krishna Reddy,  Unni Krishnan"
Thaddinaka Thappadika,Rowdy Alludu," S.P. Balasubrahmanyam,  Chitra"
Vyshnavi Bhargavi,Swathi Kiranam, Vani Jayaram
Eenati Varaku,Sontham," Devi Sri Prasad,  Sumangali"
Baagunnave,Rukmini," S.P. Balasubrahmanyam,  K. S. Chithra"
Yaayire,Rangeli, S. Janaki
Muvvante Myna,Vaana," Kamalakar,  Mallikarjun"
Porapatidhi,Ladies Tailor," S. Janaki,  S.P. Balasubrahmanyam"
Ye Janmamo,Rakshana (Original Motion Picture Soundtrack)," M.M.Keeravani,  Veturi,  Chitra"
Morethukochindhi,Cheliyaa," A.R. Rahman,  A.R. Reihana,  Tipu,  Nikhita Gandhi"
Naanu IASsu Maga,Naanu IASsu Maga, Sirivennela
Kalyanam Kanundhi,Antahpuram, K. S. Chithra
Jingu Jingu Cheera,Lorry Driver," S.P. Balasubrahmanyam,  Chitra"
Arere Dada Petti,Janaki Ramudu," K. V. Mahadevan,  S.P. Balasubrahmanyam,  P. Susheela"
Mayya Mayya,Paisa," Sai Kartheek,  Vijay Prakash"
Oh Chinadana,Oh Chinadana," Vidhya Sagar,  Devashish"
Aho Priya,Bombai Priyudu," S.P. Balasubrahmanyam,  Chitra"
Unnatta Lenatta,Vaana," Kamalakar,  Ranjith"
Nuvvu Nenu Anthe,Krishnashtami," Vijay Prakash,  Ramya Behara"
Bangaru Bomma,Gillikajjalu," S.P. Balasubrahmanyam,  K. S. Chithra"
Veyyinokka,Ravanasura, Anurag Kulkarni
Shiva Poojaku,Swarna Kamalam," S. P. Balasubrahmanyam,  P. Susheela"
Gudu Gudu Guncham,Ravoyi Chandamama," Mani Sharma,  Sukhwinder Singh,  Lalitha Sagari,  Smitha (Nivedhitha)"
Pelli Pandhiri,Shailaja Reddy Alludu, Vijay Yesudas
Ayyo Ayyo,Bobbili Raja," Ilaiyaraaja,  S.P. Balasubrahmanyam"
Chuttu Pakkala,Rudraveena," Ilaiyaraaja,  S.P. Balasubrahmanyam"
Evaraina Chustuntara,Anukokunda Oka Roju, Smita
O Kaalama,Hitler, K.J. Yesudas
Intikeldam Padavammo,Aavida Maa Aavide," Sri,  K. S. Chithra,  Swarnalatha,  S.P. Balasubrahmanyam"
Auditorium Music Bit,Nee Sneham, R.P. Patnaik
